City,Break even,Latitude,Longitude,Zipcode,Annual Sun Hours,PCPI,PCPI Growth,CO           8-hr (ppm),O3            8-hr (ppm),PM10         24-hr (µg/m3),PM2.5         Wtd AM (µg/m3),PM2.5         24-hr (µg/m3),Solar,Wind,Hydroelectric,Low-Impact Hydroelectric,Natural Gas,Coal,Oil & Other FF,Other,tempmax,tempmin,temp,precip,precipcover,windspeedmean,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunelevation
"Atlanta, GA",18,33.748752,-84.3876845,30318,2738.3,63219,7.2,2,0.069,48,8.9,19,2733,904,738,250,1226,662,267,1300,22.69945205479452,12.323561643835617,17.207123287671234,3.0497890410958903,8.755671232876713,9.966849315068494,1018.4876712328767,45.20383561643836,15.178904109589041,348.6539726027397,29.933972602739725,5.926027397260274,27.275280898876403,56.199178082191786
"Austin, TX",14,30.267153,-97.7430608,78745,2643.7,71372,9.9,1,0.073,57,9.5,23,2041,1875,161,15,135,97,147,225,27.602465753424656,15.228219178082192,21.055068493150685,1.6982739726027398,4.680465753424658,9.594246575342465,1016.4498630136986,40.49068493150685,15.297260273972602,182.3613698630137,15.467123287671233,6.668493150684932,42.10674157303371,59.33287671232877
"Baltimore, MD",10,39.2903848,-76.6121893,21215,2581.7,70490,6.3,1,0.069,20,6.9,16,1095,126,75,49,256,329,9,127,18.995068493150683,9.303013698630137,14.091780821917808,2.5221534246575343,9.897369863013699,10.174520547945205,1018.0021917808219,55.04082191780822,14.807123287671233,173.32054794520548,14.966027397260275,6.8191780821917805,19.662921348314608,51.03808219178082
"Boston, MA",12,42.3600825,-71.0588801,2124,2633.6,92290,7.0,1,0.07,36,8.7,17,3071,510,378,87,194,281,129,946,16.13205479452055,7.958904109589041,11.932054794520548,2.1540109589041094,10.194109589041096,17.719452054794523,1016.6753424657534,63.02575342465754,14.843013698630136,116.6676712328767,9.924931506849315,4.638356164383562,14.044943820224718,47.8641095890411
"Chicago, IL",15,41.8781136,-87.6297982,60629,2508.4,71992,8.3,1,0.074,134,10.0,30,1712,5340,295,148,1370,16,207,1255,15.805205479452054,7.375342465753425,11.548493150684932,2.0649589041095893,9.155260273972603,16.202465753424658,1016.6093150684932,65.51095890410959,15.055616438356164,79.36328767123287,6.6975342465753425,4.6136986301369864,16.03932584269663,48.43260273972603
"Denver, CO",11,39.7392358,-104.990251,80219,3106.6,78150,7.3,2,0.078,89,7.4,18,2325,1113,253,61,147,392,41,540,17.903287671232878,3.670958904109589,10.426301369863014,1.028835616438356,5.730602739726027,14.344383561643836,1014.9090410958904,55.24794520547945,15.342465753424657,172.13150684931506,14.596712328767124,7.153424657534247,13.047752808988765,50.62493150684931
"Honolulu, HI",5,21.3098845,-157.8581401,96818,3035.9,64143,6.3,1,0.044,45,3.7,8,2779,200,49,29,89,272,838,79,28.84027397260274,22.404931506849316,25.365753424657534,0.8573534246575342,5.1257534246575345,15.440821917808218,1016.6536986301369,50.61534246575342,15.912602739726028,212.7731506849315,18.356712328767124,8.115068493150686,12.696629213483146,66.94438356164383
"Miami, FL",10,25.7616798,-80.1917902,33125,3154.0,73522,10.9,1,0.068,104,9.4,22,821,362,184,103,670,197,9,1379,29.189589041095893,22.523835616438358,25.594794520547946,4.096380821917808,10.639369863013698,12.656712328767123,1017.1487671232876,52.881917808219185,15.69972602739726,172.62438356164384,14.65808219178082,7.487671232876712,65.04213483146067,63.65095890410959
"Minneapolis, MN",15,44.977753,-93.2650108,55407,2710.7,71912,6.2,2,0.061,118,7.7,19,1361,578,166,46,154,9,9,301,12.453972602739725,3.0663013698630137,7.730958904109589,1.4262520547945206,8.276328767123289,14.807123287671233,1015.714794520548,49.686027397260276,15.112602739726029,143.8835616438356,12.247945205479452,5.756164383561644,18.426966292134832,45.28767123287671
"Nashville, TN",13,36.1626638,-86.7816016,37211,2510.1,70026,8.8,2,0.067,80,9.3,23,157,106,201,9,9,9,9,105,21.878082191780823,10.544383561643835,16.06027397260274,2.347980821917808,8.60723287671233,10.504931506849315,1018.3219178082192,46.94931506849315,14.775068493150684,174.33123287671233,14.845479452054796,6.8,26.75561797752809,54.05287671232877
"New Orleans, LA",19,29.9510658,-90.0715323,70119,2648.9,61327,6.6,1,0.066,98,8.6,18,1411,97,53,28,264,82,25,18,25.91780821917808,18.66958904109589,22.085479452054795,1.3585287671232877,7.5,8.647945205479452,1018.1728767123287,33.54684931506849,15.394520547945206,108.00602739726027,9.187123287671234,5.772602739726027,47.26123595505618,60.38657534246575
"New York City, NY",14,40.7127753,-74.0059728,11368,2534.7,85136,8.1,2,0.074,27,8.7,21,4050,1924,1927,272,2065,529,539,2595,17.56876712328767,10.188219178082191,13.661095890410959,2.1518328767123287,10.228465753424658,10.898082191780823,1017.5038356164384,43.25972602739726,15.017808219178082,163.6882191780822,14.13178082191781,6.558904109589041,16.348314606741575,49.645753424657535
"Philadelphia, PA",9,39.9525839,-75.1652215,19120,2498.4,72379,6.1,2,0.07,50,9.5,23,307,379,55,33,134,59,9,251,18.813972602739728,9.473698630136987,14.091506849315067,2.653372602739726,11.358575342465754,13.161643835616438,1017.9095890410958,55.61095890410959,15.002191780821919,171.23150684931508,14.59041095890411,6.545205479452055,18.132022471910112,50.41095890410959
"Portland, OR",15,45.515232,-122.6783853,97206,2340.9,68374,8.1,2,0.067,39,7.7,29,3608,677,949,20,157,87,65,209,17.575068493150685,8.534520547945204,12.732054794520547,2.765895890410959,15.753506849315068,9.079178082191781,1018.7515068493151,58.73479452054795,14.746849315068495,50.695068493150686,4.357260273972603,3.115068493150685,10.584269662921349,44.796164383561646
"San Antonio, TX",16,29.4251905,-98.4945922,78228,2629.2,53648,7.3,1,0.076,57,9.2,27,1644,1381,9,9,18,80,9,112,28.41041095890411,16.02986301369863,21.774794520547946,0.7931506849315069,3.3448493150684935,13.15095890410959,1015.5010958904111,44.22027397260274,15.313972602739726,196.20054794520547,16.60082191780822,7.471232876712329,38.13202247191011,60.20082191780822
"San Diego, CA",4,32.715738,-117.1610838,92154,3054.6,72637,7.1,1,0.079,196,9.3,17,11705,836,760,124,981,207,85,1675,21.315068493150687,14.198904109589042,17.56082191780822,0.34043287671232875,2.0434246575342465,8.695616438356165,1015.8808219178082,56.070136986301364,15.28109589041096,179.8572602739726,15.373972602739727,6.767123287671233,10.379213483146067,57.50575342465753
"San Fransisco, CA",5,37.7749295,-122.4194155,94112,3061.7,123711,12.1,2,0.068,38,9.9,24,14005,608,424,69,525,101,32,1105,25.77178082191781,10.27013698630137,17.66986301369863,0.7323287671232876,4.726356164383562,11.534520547945206,1020.8454794520547,48.65369863013698,17.383287671232875,262.6254794520548,22.601369863013698,9.238356164383562,11.151685393258427,68.14849315068493
"San Jose, CA",4,37.33874,-121.8852525,95123,3243.14,136338,7.3,2,0.066,74,10.1,27,15777,489,807,123,985,123,155,1013,22.323287671232876,10.73150684931507,15.812602739726028,0.4431671232876712,3.5616986301369864,10.327945205479452,1017.1643835616438,40.21013698630137,15.387123287671233,218.8216438356164,18.88602739726027,7.887671232876713,10.0,52.96356164383562
"Seattle, WA",16,47.6062095,-122.3320708,98115,2169.7,89274,8.4,1,0.075,33,12.2,69,1694,1664,294,100,165,40,37,189,15.562191780821918,7.9791780821917815,11.554794520547945,1.768791780821918,11.449808219178083,8.436438356164384,1018.4876712328767,60.75479452054795,14.59041095890411,137.22986301369863,11.843835616438357,5.331506849315068,10.154494382022472,42.72931506849315
"Washington, DC",12,38.9071923,-77.0368707,20011,2527.7,80822,6.2,2,0.066,36,8.3,17,1566,294,213,106,206,122,9,301,19.753150684931505,10.666027397260274,14.94904109589041,2.6612410958904107,9.200876712328768,13.391506849315068,1018.3221917808219,63.974520547945204,15.283561643835617,92.16109589041096,7.812054794520548,5.3780821917808215,19.873595505617978,51.41479452054795
