City,Break even,Latitude,Longitude,Zipcode,Annual Sun Hours,PCPI,PCPI Growth,CO           8-hr (ppm),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3),PM2.5         Wtd AM (µg/m3),PM2.5         24-hr (µg/m3),SO2         1-hr (ppb),Solar,Wind,Hydroelectric,Low-Impact Hydroelectric,Natural Gas,Coal,Oil & Other FF,Other
"San Diego, CA",4,32.715738,-117.1610838,92154,3054.6,72637,7.1,1,15,50,0.079,196,9.3,17,1,"11,705",836,760,124,981,207,85,"1,675"
"San Jose, CA",4,37.33874,-121.8852525,95123,3243.14,136338,7.3,2,13,44,0.066,74,10.1,27,2,"15,777",489,807,123,985,123,155,"1,013"
"San Fransisco, CA",5,37.7749295,-122.4194155,94112,3061.7,123711,12.1,2,13,43,0.068,38,9.9,24,15,"14,005",608,424,69,525,101,32,"1,105"
"Honolulu, HI",5,21.3098845,-157.8581401,96818,3035.9,64143,6.3,1,IN,IN,0.044,45,3.7,8,63,"2,779",200,49,29,89,272,838,79
"Philadelphia, PA",9,39.9525839,-75.1652215,19120,2498.4,72379,6.1,2,14,56,0.07,50,9.5,23,7,307,379,55,33,134,59,9,251
"Miami, FL",10,25.7616798,-80.1917902,33125,3154,73522,10.9,1,13,51,0.068,104,9.4,22,2,821,362,184,103,670,197,9,"1,379"
"Baltimore, MD",10,39.2903848,-76.6121893,21215,2581.7,70490,6.3,1,15,44,0.069,20,6.9,16,3,"1,095",126,75,49,256,329,9,127
"Denver, CO",11,39.7392358,-104.990251,80219,3106.6,78150,7.3,2,24,63,0.078,89,7.4,18,5,"2,325","1,113",253,61,147,392,41,540
"Washington, DC",12,38.9071923,-77.0368707,20011,2527.7,80822,6.2,2,15,46,0.066,36,8.3,17,3,"1,566",294,213,106,206,122,9,301
"Boston, MA",12,42.3600825,-71.0588801,2124,2633.6,92290,7,1,12,47,0.07,36,8.7,17,9,"3,071",510,378,87,194,281,129,946
"Nashville, TN",13,36.1626638,-86.7816016,37211,2510.1,70026,8.8,2,13,53,0.067,80,9.3,23,3,157,106,201,9,9,9,9,105
"New York City, NY",14,40.7127753,-74.0059728,11368,2534.7,85136,8.1,2,20,63,0.074,27,8.7,21,11,"4,050","1,924","1,927",272,"2,065",529,539,"2,595"
"Austin, TX",14,30.267153,-97.7430608,78745,2643.7,71372,9.9,1,13,IN,0.073,57,9.5,23,IN,"2,041","1,875",161,15,135,97,147,225
"Chicago, IL",15,41.8781136,-87.6297982,60629,2508.4,71992,8.3,1,17,55,0.074,134,10,30,45,"1,712","5,340",295,148,"1,370",16,207,"1,255"
"Portland, OR",15,45.515232,-122.6783853,97206,2340.9,68374,8.1,2,10,31,0.067,39,7.7,29,3,"3,608",677,949,20,157,87,65,209
"Minneapolis, MN",15,44.977753,-93.2650108,55407,2710.7,71912,6.2,2,12,46,0.061,118,7.7,19,15,"1,361",578,166,46,154,9,9,301
"Seattle, WA",16,47.6062095,-122.3320708,98115,2169.7,89274,8.4,1,16,54,0.075,33,12.2,69,3,"1,694","1,664",294,100,165,40,37,189
"San Antonio, TX",16,29.4251905,-98.4945922,78228,2629.2,53648,7.3,1,6,37,0.076,57,9.2,27,5,"1,644","1,381",9,9,18,80,9,112
"Atlanta, GA",18,33.748752,-84.3876845,30318,2738.3,63219,7.2,2,16,52,0.069,48,8.9,19,4,"2,733",904,738,250,1226,662,267,1300
"New Orleans, LA",19,29.9510658,-90.0715323,70119,2648.9,61327,6.6,1,9,50,0.066,98,8.6,18,63,1411,97,53,28,264,82,25,18
