name,tempmax,tempmin,temp,precip,precipcover,windspeedmean,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunelevation
"Honolulu, HI",24.8,19.5,22.2,80.461,75,14,1010.8,83.1,14.5,40.5,3.5,2,,45.4
"Honolulu, HI",22.2,19.3,20.6,37.753,54.17,6.2,1011.7,68.6,14.9,44.6,3.8,2,,45.5
"Honolulu, HI",24.2,19.1,21.4,11.91,33.33,6.1,1012.4,57.1,15.3,93.2,8,5,,45.6
"Honolulu, HI",25.3,19.5,22.5,6.101,45.83,9,1013.1,79.3,15.8,83.1,7.2,5,,45.7
"Honolulu, HI",25.9,20.3,23,3.98,8.33,7,1015.6,53.1,15.9,126.8,10.9,5,,45.8
"Honolulu, HI",26.1,19.2,22.8,1.716,12.5,8.8,1015.1,33.6,16,211.7,18.1,8,,46
"Honolulu, HI",26.9,19.3,22.8,0,0,8.7,1013.6,32.1,16,133,11.6,6,,46.1
"Honolulu, HI",26.4,17.8,22.3,0,0,8.6,1013.4,43.2,16,128.3,10.9,7,,46.3
"Honolulu, HI",25.8,18.8,22.7,0,0,7.2,1013.6,32.8,16,198.4,16.9,8,,46.4
"Honolulu, HI",26.4,18.9,22.8,0,0,8.3,1015.9,44.5,16,153.5,13.1,6,10,46.6
"Honolulu, HI",26.3,19.4,22.7,0,0,12.9,1018.9,28.5,16,222.6,19.2,8,10,46.7
"Honolulu, HI",27,18.8,23,1.822,16.67,8,1018.5,53.4,15.9,157.1,13.5,9,10,46.9
"Honolulu, HI",26.4,19.2,23.1,0,0,7,1017,38.5,16,224.3,19.2,8,10,47.1
"Honolulu, HI",26,19.9,22.5,4.81,25,8.5,1016.5,62.5,15.3,166.4,14.4,8,10,47.3
"Honolulu, HI",25.4,18.5,22.2,0,0,8.1,1015.6,34.4,16,149.8,12.9,7,10,47.5
"Honolulu, HI",26.4,18.4,22.5,0,0,6.5,1015,35.6,16,128.1,11.1,5,10,47.7
"Honolulu, HI",25.4,18.7,22.3,0,0,7.2,1014.1,13.9,16,215.3,18.7,9,10,47.9
"Honolulu, HI",26.4,18.8,22.6,0,0,6.7,1013.9,10.3,16,214.4,18.6,9,10,48.1
"Honolulu, HI",27.6,19.6,23.3,0,0,9,1014.4,29.1,16,193.7,16.8,8,10,48.3
"Honolulu, HI",26.3,19.9,23.2,0,0,7.9,1015.6,28.3,16,202.2,17.5,9,10,48.5
"Honolulu, HI",28.3,20,23.9,0,0,8.3,1016.9,31.7,16,231.9,20.1,8,10,48.8
"Honolulu, HI",27.6,20.4,24.1,0,0,11.5,1016.9,41.7,16,164.5,14.3,7,10,49
"Honolulu, HI",27.8,21.6,24.3,0,0,13.7,1018.1,43,16,189.8,16.4,8,10,49.2
"Honolulu, HI",26.6,20.1,23.4,0,0,13.2,1018.1,31,16,213.4,18.4,9,10,49.5
"Honolulu, HI",27.4,21,23.8,0.044,4.17,12.6,1017.5,54.1,15.9,197.8,17.2,8,10,49.7
"Honolulu, HI",27.8,21.4,23.9,0.609,8.33,13.4,1016.7,47,15.9,135.2,11.7,6,10,50
"Honolulu, HI",26.7,18.6,22.9,0,0,9.1,1017.7,35.3,16,193.3,16.6,8,10,50.3
